,occured,reported,posted,location,text
10,5/4/2017 15:00,5/5/2017 11:38:00 AM 11:38,5/6/2017,"Beaverton, OR","Hat-shaped tan object caught on cell phone camera by accident.I was coming out of my doctor's office, and I knew it was going to storm when I went in at 2pm.  It was 87 degrees and uncomfortably humid.  I had been watching the sky for lightning on my way to the doc.As I was coming out of the parking lot, a huge raindrop hit my windshield.  It was so big I tried to get a picture of it with my phone.  I glanced up in the sky to see if there was a big storm coming.  I saw an odd circular area in the fluffy clouds in a clearing.  I saw only a circular swish of a white cloud and nothing else but blue sky behind it.  I always call those ""sucker holes"" for pilots, but this one had a swirly cloud inside it.It wasn't until I was in bed that night looking at my photos to see if I captured tge big raindrop on my windshield.  My daughter was in Hawaii and I was going to show her she was missing giant rain here at home in the Portland area, and a stormy muggy day.When I looked at my photo, the raindrop is there, but much to my surprise, so is somethibg odd in with the swirly swish cloud!  It looks to me like the shape of the Trent UFO in McMinnville, and this is not far from that area mileage-wise.I thought maybe it was a dirty spot on my window, but my window is clean and I can clearly see this object is blurry like it is moving fast.  There is even some light reflecting on the left side of it in the photo like it is reflecting off an object.   I have no clue what appeared in my photo, but here it is!"
11,5/4/2017 04:50,5/4/2017 5:39:19 AM 05:39,5/6/2017,"Taft, CA","I'm a truck driver and I've seen the reddish/orange balls of light before.  But never this close.  One passed over my truck from east to west on Highway 119 just outside of Taft, California, at 4:50 am today May 4th.  This was not an aircraft and it was not a Chinese lantern…  There was no flicker of fire or blinking lights.  I estimate it was less than a quarter mile above me, and maybe the size of a yoga ball.  I was able to grab my phone and snap 3 photos before it was out of view.  The pictures are very interesting!!((NUFORC Note:  Witness indicates ""Taft, Indiana"" in original report.  We have amended that to ""Taft, California.""  PD))"
12,5/4/2017 00:00,5/4/2017 4:02:59 AM 04:02,5/6/2017,"Goose Creek, SC","For a little over a month, I would go outside and enjoy a cigar, or just return home from anywhere from 10:30 to 11 pm and notice weird aircraft, just hovering in one spot in the sky!  Their never together always separated in distance,  I've always tried to photo or video them and the would leave after they did a huge circle in the sky!  Tonight was different.  I was watching the NBA playoffs spurs vs raptors and I just returned from grabbing a drink and my favorite cigar.  It just so happened I caught it in plain eye sight and was able to zoom in on this object to record it and the way the lights go from left to right as ordered one red light three or four white lights then one red light and reversed!   There's been times a big spot light would appear then a steady two orange lights before take off!  But only one orbital aircraft was there tonight instead of two at least this is what I thought!  Then here comes this blue spinning object you couldn't see in plan eye sight!  I looked away from my camera phone twice and couldn't believe I couldn't see it but I seen it on my phone!  As I turned after a couple minutes to show I was literally outside my apartment and returned back to where I was standing prior it was gone!  I even thought Venus was the North Star that night haha!  But I screenshot both objects and the blue circular one thrice to show it was moving one has no stars that I could verify the second if you look closely when it was by what I call big o’s belt! The brightest light is was I normally said but in the video I have its clear to see they are planes! This light go so bright it lit up blue! I sternly awakened my girlfriend and say I finally got it but look here's something new!((NUFORC Note:  Source of the report elects to remain anonymous; provides no contact information.  PD))"
13,5/4/2017,5/4/2017 3:43:49 PM 15:43,5/6/2017,"Savannah, GA","Watched a 3-4 in sphere come in one end of development and slowly move thru park. A neonish blue that seemed to be a glow but didn't ""shine.""Watched a 3-4 in sphere come in one end of development and slowly move thru park.  A neonish blue that seemed to be a glow, but didn't ""shine"".  Don't know any other way to describe it.  Floated by me about 20-25 ft away about 12-14 ft off the ground.  No sound.((NUFORC Note:  For some reason, the source of the report does not indicate the time or date of the alleged sighting, so we have had to guess at both.  The witness elects to remain totally anonymous, and provides no contact information, so we are unable to contact the party, in order to confirm the time and date.  PD))"
14,5/3/2017 00:00,5/3/2017 10:35:57 PM 22:35,5/6/2017,"Lake Los Angeles, CA","Fast moving green lights.  One flashing the other steady.  Moving faster than airliners leaving Burbank heading East, making no noise at all.  Lights did not look like regular bulbs, but a large hazy glow."
15,5/3/2017 23:15,5/3/2017 10:17:06 PM 22:17,5/6/2017,"West Union, OH","I was walking my dog and I looked up at the stars and moon when I saw that one of the stars looked weird.  It was very bright, circular,and moved quickly.  It stopped then moved quickly in a 90 degree angle.  I was facing south looking straight up.  It was yellowish in color and looked to be higher up than a jet would fly."
16,5/3/2017 21:00,5/3/2017 10:49:02 PM 22:49,5/6/2017,"Portland, OR","Three moving bright lights.There were three bright balls of light, too bright to be a plane or helicopter and brighter than the street lights.  At first they weren't aranged in any particular way but slowly went into a triangle formation, then proceeded to change into a horizontal line.  One of them dimmed and was no longer bright and, instead, had flashing red and white lights, almost exactly like an airplane, but was moving too fast to be one.  It flew away.  The other two shortly followed individually.  There was nothing for about five to ten minutes, then one came back (the bottom one) to its exact spot where it was before and was bright again then flew away."
17,5/3/2017 15:00,5/3/2017 5:47:23 PM 17:47,5/6/2017,"Loveland, CO",I seen two objects dancing high in the sky... they were spinning and moving in an odd way that was not normal movements for an air craft of any kind.  After about two and a half mins. They parted and one went SW and the other went NE and at the same time they were getting higher and higher then gone... just disappeared. I have seen sightings periodically throughout my life but no witnesses to believe me. I wish I was lying but hard to unsee what you've seen.((NUFORC Note:  Source of the report elects to remain anonymous; provides no contact information.  PD))
18,5/3/2017 11:15,5/3/2017 9:38:20 PM 21:38,5/6/2017,"Barneveld, WI","Very bright triangular shaped object.I was driving towards Ridgeway, WI, and on the left side of me off the highway, I saw a very bright light.  The object didn't appear to move and there were airplanes in the sky at the time.  I was playing loud music and the object seemed to come towards me very slow.  I slowed the car down and looked up as it flew over me and I saw a triangle shaped object. I look in my rear view mirror and it was gone.((NUFORC Note:  Source of the report elects to remain anonymous; provides no contact information.  PD))"
19,5/3/2017 08:50,5/3/2017 5:09:34 PM 17:09,5/6/2017,"Phoenix, AZ","MAN SEEN AIRLINE LIKE OBJECT VANISH INSIDE CONTRAIL..While Waiting on the Number #41 Bus on Indian School RD, West Bound, I Looked Upward As I Always do, When I Noticed A High Altitude Contrail Made by Jet Moving from East to West, Below That I Saw A Contrail made by an Earlier Aircraft!,  I Then Noticed, What Looked Like A Southwest Airliner Flying INSIDE And THROUGH This Lower Contrail, I Could Make Out The Blue Body And Red-Orange Wing Tips of This Plane, That Southwest Airlines Always Have!, Just Then a Man that Was Setting Next to Me Asked Me A Question, And I Turned Away For Just A Second, But When I Looked Back THE AIRLINE WAS GONE!!, THE SKY WAS CLEAR!!,  This Just Happen IN A SECOND!!,  I Don't Know What I Saw in The Sky This Morning, Maybe You Do!.  End of Report!.."
20,5/3/2017 08:00,5/5/2017 3:29:40 AM 03:29,5/6/2017,"New York City (Brooklyn), NY","UFO.A very large size, gray color, square shape object hover without any noise over Brooklyn.  I personally don't know what it could be.  I had a good 10 minutes sharp view of the object.  At a very clear sky.  I was trying to be rational but find no answer.  Unfortunately the video footage doesn't give back the ratio of the object.  Much larger than a Boeing CH-47 Chinook helicopter.  I have photos captured also and after zooming in I saw the object hade colors and lights.Date 03-05-17 Brooklyn/NYC 8 am"
21,5/2/2017 22:15,5/2/2017 11:29:04 PM 23:29,5/6/2017,"Albuquerque, NM","Albuquerque –Around 11:15 pm.  We saw a single bright blue orb drop like a shooting star at about 700-1000 ft above ground, pause, then drop again about 100 ft above ground, travel directly away and disappear.  The duration was about 4 seconds.No asteroid or comet pauses and then moves again.  No plane  could be that low or travel that fast.  No drone could travel that fast.  No other competing lights were present.  The blue orb appeared  to be as big as a compact car.  The other person in the car saw the very same thing."
22,5/2/2017 21:50,5/2/2017 11:49:16 PM 23:49,5/6/2017,"Albuquerque, NM","This object was flying over the mountains and looked as if a full moon was flying through the sky.  This was a massive bright sphere.  Craziest thing I've ever witnessed, will always wonder about it."
23,5/2/2017 21:00,5/2/2017 6:12:16 PM 18:12,5/6/2017,"Kennesaw, GA","Strange craft appears at dusk, lights up and moves positionThere is some sort of aerial craft that shows up at dusk and lights up at night.  It is then joined by a second light and slowly changes position throughout the night.  I`m viewing the craft from Bells Ferry and 575 and it is in the southern position."
24,5/2/2017 17:10,5/3/2017 6:34:53 AM 06:34,5/6/2017,"Albuquerque, NM",Stepped out my backdoor and saw a reflective metallic round object moving west at a very fast speed.  No sound or vapor trail.  My guess two or three thousand feet above.((NUFORC Note:  Source of the report elects to remain anonymous; provides no contact information.  PD))
25,5/2/2017 13:15,5/2/2017 1:38:15 PM 13:38,5/6/2017,"Canoga Park, CA",Above the SF ValleyBlack object way up in the sky.  Way higher than helicopters normally fly and moving way to slow to be an airplane.  Had red and white light slowly blinking on and off.  Object moving northward then just vanished.  No trace.  Now there's what looks like a HUGE craft hidden in the clouds directly above the valley.  Moving very slow.  Southwest bound.
26,5/2/2017 13:00,5/2/2017 1:03:10 AM 01:03,5/6/2017,"Edmonton (Canada), AB","where are all the pictures....with everyone owning a cell phone these days....Saw a couple of lights over the years.....but the main reason I am writing is why don't you provide an avenue to attach pictures........and I can't believe most people would not have pictures to prove their sighting....otherwise it is just hearsay.....don't get me wrong, I believe in UFOs, but just reading reports is not very convincing for the rest of the population.Thanks ((name deleted)) in Edmonton, Canada((NUFORC Note:  Source of the report elects to remain anonymous; provides no contact information.  PD))"
27,5/2/2017 00:13,5/6/2017 3:44:37 AM 03:44,5/6/2017,"Houma, LA","Orange steady lightThis description was given to me by someone I know. They have a video.Standing facing south in front of their home, approximately 200 ft from highway at 12:13--shortly after midnight, a strange steady orange light was observed south south west approximately a mile from home.  It was a clear night, no clouds were observed and very quiet.  No traffic passing on road and no wildlife sound.  The witness observed the light for about 5 minutes.  The light appeared to hover over buildings located in that area.  It appeared to be un-moving.  In the video, the light appeared to be a large object.  How large was difficult to ascertain.  The light can be seen above the tree line and was a steady non-blinking light.  At one point, the witness pointed a high powered blinking flashlight in the direction of the object due being unsure what the light was.  The witness was able to see some reflection of a dark shape around the light.  Right after shining the flashlight at the object, all electricity went out in the neighborhood.  This scared the witness who ran inside the home to check on the people inside.  All were ok.  The electricity came back on, so the witness went back outside and noted that the strange light was gone and an alarm was sounding from the building the light had been hovering over.  At this point, the sounds of wildlife returned...frogs, circadas, and coyotes.  Approximately an hour later, the witness noted the same orange light North of him and much further away.  The light appeared to be moving slowly away from the witness's location and then disappeared.  The witness spoke to the people who worked in the building the next morning to see if maybe there was a break-in the night before.  They agreed that the alarm had gone off, but there was no sign of a break-in.  Also spoke to a neighbor who also noted the electricity had gone off for a few seconds the night before."
28,5/1/2017 23:30,5/2/2017 7:28:38 AM 07:28,5/6/2017,"Taylorsville, UT","Got home late 11:30 pm, went out back for a smoke, when I noticed a bright pure red light hovering low south east sky!  It hovered there for a minute or two before it started moving.  Its first move was straight up and stopped mid sky and starter to pulse.  At first I thought it was a drone someone was flying in a park!  That changed in a blink of an eye!  The light started to dance around.  It moved rapidly to the mid sky directly south and stoped again, and then started moving up and down like a yoyo 5 times then stoped and started blinking. At this point I actually for a scared feeling, I felt it knew I was watching it?  The light then started to go crazy pulling amazing aerodynamic moved?  Befoe moving rapidly to the west sky below the tree line out of my sight!  What's weird is that my house is right under the flight path of passenger airplanes conning in for landing at the slc air port?  This light was dancing around right in the path!  But notice know planes flew ov! er during or after I viewed the light.  I stayed up till 1:00am never saw the light but noticed there were no planes flying over my house.  I'm still shook up for some reason..if that was a drone, I want one asap wow!!!((NUFORC Note:  We have amended the time indicated above by the witness, in order to reflect a nighttime sighting.  PD))"
29,5/1/2017 21:15,5/1/2017 9:40:10 PM 21:40,5/6/2017,"Marana, AZ","In the sky west of Marana, AZ.  3 flashing objects at 3 different levels above the horizon.  The lowest object was also the furthest south, the highest was the furthest north.  The objects seem to be holding their positions in the sky.  They appear to be moving west, because they are getting smaller."
30,5/1/2017 21:13,5/3/2017 12:44:22 PM 12:44,5/6/2017,"Scottsdale, AZ","bright white lightLike many nights, I'm watching the sky.  I noticed something out of the corner of my eye, and when I turned to look, I saw a very bright light and it went out.  It came on again within 2 seconds.  I didn't think much of it since it was in a high flight path for airlines.  In between the light flashes, the object didn't move much more the a passenger plane would have moved, it flashed one more time and I never saw any lights again, it just disappeared.  I noticed there were no other navigation lights.  No red or green nor a flashing white. this flight path was west to east and would have to be 10 to 30 thousand feet.  No contrail was observed.  No sound heard.I would describe the light as very bright like a helicopter landing light.  The light was to my south and between 75 to 80 degrees, almost overhead.Within about 1 minute there was a plane making an east to west pass almost on a reciprocal course and altitude, all lights were visible, you could hear it, there was no comparison between the two.I spent 2 years active duty in the navy.  I was trained in lookout techniques, and was a radar operator in the combat information center for most of my service."
31,5/1/2017 19:00,5/5/2017 10:08:05 AM 10:08,5/6/2017,"Lawrenceville, NJ","Brilliant Blue Beam of light shot into kitchen from window, the flash stretched about ten feet and disappeared in secondsAround 9 PM, I was cooking dinner on the stove with my friend.  To the left of me was the fridge, and to the right of me is a window on the adjacent wall above the sink.  My friend was in front of the stove, I was about three feet behind him.  He was turned slightly toward me, when this occurred, but he is colorblind, so he saw the brightness of the flash but not the brilliance.  It was as if a straight beam of brilliant blue light flashed in from the window in a horizontal line in front of him, 2 feet above the counter, from the window towards the fridge.  It was so bright, I was unable to regain vision for a second after it happened.  I could swear that I heard a grinding noise in my ears when it flashed, but that may have been from shock.  It was not one consistent color blue, there were shades in it, and it had some orange tinges at parts.  It was the most beautiful light i have ever seen but if i didn't know any better, I would swear that for that few seconds, a seam in the universe ripped. I have had two other sightings earlier this year that were the same, but different from this one.  I am at work, but will try to report them later.  I do not know if what I saw was UFO related.  But it is not my first encounter that I have said.. and I trust my instinct.  We searched the yard.  Checked the stove and all the lightbulbs that were on.  It was not electrical.  There was nothing in the yard signifying anything else."
32,5/1/2017 15:30,5/2/2017 6:12:13 PM 18:12,5/6/2017,"Fullerton, CA","To diamond objects move toward each other and then seem to collide separate and then stop movingWe were all in the backyard, Monday afternoon, and my friend told me that the moon looked beautiful in the blue sky so I looked up at the moon and noticed a star moving very rapidly North.  I assumed it was a satellite, or maybe the international space station, because it was reflecting light.  I pointed it out to my friend and then he told me there was another one coming towards it.  When they started heading towards each other very quickly he even exclaimed ""oh my god they're going to hit each other.""  The two bright star-like objects then spread apart many miles and stopped moving.  They were motionless for another five minutes, or so, but slowly getting dimmer and dimmer, until we could not differentiate them from the blue sky.  I was in my backyard and these objects were about 60° into the sky.  I was looking east Towards the moon that was lit up in the daylight sky."
33,5/1/2017 03:23,5/1/2017 4:03:09 PM 16:03,5/6/2017,"Fullerton, CA","Diamonds in sky flying toward each other, and then slowly disappearing.A bright star was flying north west near the moon, we thought it was a satellite.  One other object flew towards it as they were going to collide.  They then made a circle around each other and then spread many miles apart.  They stayed in the same positions, until slowly fading away.((NUFORC Note:  Source of the report elects to remain anonymous; provides no contact information.  PD))"
34,5/1/2017 01:50,5/5/2017 11:36:09 AM 11:36,5/6/2017,"Chugiak, AK","Retangular shaped object with 4 red blinking lights at the corners of the shape followed me!I was heading home from Anchorage and I just got back from Arizona on the Redeye.  I got off the highway at the Peter’s Creek Exit (east side of highway closest to the mountains).  There is a parking lot with a large rock painted to look like a lady bug.  I saw what looked like a low flying plane, with a flight path headed west over the parking lot from the mountains. I pulled into the parking lot to look up and get a closer look of this “plane”. As I pulled to a stop, the object slowed to a stop in front of me and vertically descended to about 100 ft. Its shape was rectangular with four red blinking lights at the corners of its shape.  I remember saying out loud, “Oh my God, this isn’t a plane!”  After that, a white light in the middle of the object started to light up, and I started to get freaked out. I put my transmission into gear and spun around and left the parking lot quickly. It changed direction and starting following me north.  I started screaming because I was scared.  Whatever it was, was going to try and take me.  It was keeping pace with me and flying directly above me so I increased my speed.  It followed me from the parking lot by the highway exit to my street which is about almost one mile to my street.  I turned north from the side road from the parking lot to head towards my street and it was still following me.  I turned east down another street and then north again to head down my street.  As I approached my house I pressed the garage door opener, I slowed to a stop and started to back into my driveway.  As I was backing into my garage, I lost visual of the object.  For a while after that I was scared because I was thinking “oh no!  They know where I live!”"
35,5/1/2017 00:15,4/30/2017 10:40:49 PM 22:40,5/6/2017,"Seminary, LA","Very bright oval light yellowish in color on a very windy, very cloudy nightI let my dogs out and looked directly across my back pasture.  I saw a bright yellowish round to oval shaped light in the sky right above the tree line.  It was surprising to see because a line of thunderstorms had moved through earlier and it was still very cloudy with light rain.  It was motionless.  It was bright enough to cast light out from around it as the moon does.  The weather was windy and the trees were blowing obscuring my vision somewhat.   My first thought was that it actually was the moon, but then I realized it was far too low for the moon at this time of night; also, I went back in the house to tell others (about 2 minutes), and when I returned, it had moved to below and behind the tree line.  It seemed that it had moved down in a “setting” pattern as the sun does.  I could still see bits of it through the trees because it was so bright.  I went back into the house to report what was happening.  When I came back, it was gone completely.((NUFORC Note:  We have amended the time indicated by the source, in order to reflect a nighttime sighting.  Source of the report elects to remain anonymous; provides no contact information.  PD))"
36,5/1/2017,5/2/2017 6:46:41 AM 06:46,5/6/2017,"Taylor, PA","Ok so I was a skeptic until I was driving down main street in my small little town and then about 500 feet I see what I thought was an airplane (not uncommon Taylor is near an airport)  Then I get closer and it's actually standing still about 20 ft from the stop light that was green, but I stopped because you don't see this everyday!  So I get a feeling like its looking at me now I'm shaking in fear at this point!  It was a about the size of a go cart and square which I found odd and had 4 very very bright lights on each corner!  So now it proceeds to follow me on my side a little distance away from me I was so scared I'm swerving at this point! I thought it was coming for me...finally it dispersed fast...now take in to account this is moments literally before the big storm came huge lighting and tornado storm we got and winds we're crazy so my first thought of a huge drone is out of the picture… Honestly, the most terrifying experience I've ever had!"
37,4/30/2017 22:00,4/30/2017 9:48:56 PM 21:48,5/6/2017,"Peyton, CO","Outside smoking, clear sky  when I notice fairly fast movement. First thought was a meteor, because it was moving very fast, but very faint.  When I was able to focus on the movement, I could tell it was two very faint lights a distance apart from each other but keeping the same distance.  Faded out as it traveled northward.  It was too fast to be an airplane (airplanes are common sightings around here and this was to low and going to fast with no noise at all) with no flashing lights, only very faded white.  I would of missed it if I was looking elsewhere it was that fast.((NUFORC Note:  Source of the report elects to remain anonymous; provides no contact information.  PD))"
38,4/30/2017 22:00,5/1/2017 11:14:58 AM 11:14,5/6/2017,"Spring, TX","We saw 4 ufo's the first 3 were in an arrow shape with one tagging along behind and then a couple seconds later they all merged into a line.  They were fluttering back and forward.  They arched the line a little bit and then flew out into the sky and disappeared.  They looked like dim lighted ovals in the sky, no markings or bulky items just very dim balls of light.  They passed by the apartments pond for about 30 seconds to a minute and then they went to far for us to see.   There was no sound coming from any of them.  There was also a very bright shooting star that flew across the sky just seconds before the objects strolled on by."
39,4/30/2017 21:00,5/1/2017 4:58:11 AM 04:58,5/6/2017,"Ventura, CA","There was one bigger light flashing with about 13 smaller ones except the smaller ones flashed a bit different.  It reminded me of a drone, but over a dozen drones out flying above our neighborhood all night until the morning is a bit odd.  I went to bed at about 23:00 and woke up at 4:00, they were still out there.  One flew over my fiancés and my head and we saw a shape of  what appeared to be a triangle shape.  My dad and mom both saw them from their window and they thought it was quite strange.  I can't believe no one has reported this yet.  I don't know what this is, but they are circling our neighborhood over and over again.  Hovering and they haven't stopped."
40,4/30/2017 20:30,4/30/2017 7:49:04 PM 19:49,5/6/2017,"Belleville, IL","Close to the horizon, there were 3 lights in a triangular shape.  As we watched, they turned in a circle, still keeping their triangular formation."
41,4/30/2017 18:00,5/1/2017 10:22:28 AM 10:22,5/6/2017,"Pebble Beach, CA","A bright silver ball traveling west to east at a high speed, making no sound, flew past us, making a slight change of direction, and then blink, it disappeared into thin air."
42,4/30/2017 14:00,4/30/2017 2:27:02 AM 02:27,5/6/2017,"Everett, WA","Ball of white light zooming in L shapes then disappearing againMy dad and I went outside and saw a strange white ball of light,  it kept disappearing and reappearing.  Then it kind of zoomed into an L shape.  It kept disappearing and then appearing in an L shape again, before it finally just disappeared."
43,4/30/2017 05:00,4/30/2017 9:54:21 PM 21:54,5/6/2017,"Del Valle, TX","bright star like object moving around moon in the day timeI 36 and my son 4 star gaze every night before bed. I grew up on lake Michigan, lived in Arizona and now in Texas. I've looked at the stars since I was very little and I've seen every explainable thing out there.  I don't know what I saw but I know nothing in the sky could move like this.  It looked exactly like a very bright star or planet you see in the night sky.  If the moon appeared to be an inch wide it was stationary three inches above and one to the right.  I grabbed my son and showed him the bright star or planet by the moon in the day time.  I wanted him to see stars and planets and the moon could be seen in the day.  Then it started moving below the moon. about two inches in  straight line.  So no concern.  It was when this very bright star moved two inches to the right then down and to the left.  Then back up and to the left (passing the left side of the moon)then just disappeared.  It looked like a very bright white star the entire time. (very obvious)"
